start_time,total_flight_time,total_flight_distance,is_collided,safety_ratio_agent,average_planning_time,min_planning_time,max_planning_time,initial_traj_planning_time,obstacle_prediction_time,goal_planning_time,lsc_generation_time,sfc_generation_time,traj_optimization_time,mission_file_name,world_file_name,planner_mode,prediction_mode,initial_traj_mode,slack_mode,goal_mode,world_dimension,dt,horizon,N_constraint_segments
1632718261.452302686,22.8,169.035,0,1.0098,0.0094675,0.0048862,0.0352069,4.08312e-07,1.31838e-05,0.00196147,2.91478e-05,0.00173421,0.00572367,/home/jungwon/catkin_ws/src/lsc_planner/missions/multi_square16.json,/home/jungwon/catkin_ws/src/lsc_planner/world/simple_forest.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,1,-1
1632914949.115781182,21.8,169.503,0,1.00411,0.00865887,0.00465775,0.0317044,4.69584e-07,8.40988e-06,0.00194331,2.64266e-05,0.00148231,0.00519282,/home/dabinkim/jw_ws/src/lsc_planner/missions/multi_square16.json,/home/dabinkim/jw_ws/src/lsc_planner/world/simple_forest.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,1,-1
